stratum,slug,formula,http_status,cf_cache_status,title,canonical,h1,meta_robots,ssr_solution_block,ssr_answer,ssr_rule,ssr_steps_count,ssr_step_1,related_count,related_stable_across_renders,expected_derivative,verdict,problems
inverse-trig,derivative-of-acosx-minus-over-minus-10,acos(x/10),200,MISS,Derivative of acos(x/10) - Instant Step-by-Step Solutions | Derivative Calculator AI,https://derivativecalculatorai.com/derivative-of-acosx-minus-over-minus-10,Derivative of acosx-/-10,,no,,,0,,0,n/a,(-1/10)*sqrt((-1/100)*x^2+1)^(-1),RED,no SSR solution block; no SSR answer text; only 0 step(s); no rule label
inverse-trig,derivative-of-asin3x,asin(3*x),200,MISS,Derivative of asin(3*x) - Instant Step-by-Step Solutions | Derivative Calculator AI,https://derivativecalculatorai.com/derivative-of-asin3x,Derivative of asin^3x,,yes,Derivative,Power Rule,8,Identify the expression as a power function and apply the power rule.,0,n/a,3*sqrt(-9*x^2+1)^(-1),GREEN,
inverse-trig,derivative-of-atan5x,atan(5*x),200,MISS,Derivative of atan(5*x) - Instant Step-by-Step Solutions | Derivative Calculator AI,https://derivativecalculatorai.com/derivative-of-atan5x,Derivative of atan^5x,,yes,Derivative,Power Rule,8,Identify the expression as a power function and apply the power rule.,0,n/a,5*(1+25*x^2)^(-1),GREEN,
inverse-trig,derivative-of-x-minus-to-minus-the-minus-10atanx,x^10*atan(x),200,MISS,Derivative of x^10*atan(x) - Instant Step-by-Step Solutions | Derivative Calculator AI,https://derivativecalculatorai.com/derivative-of-x-minus-to-minus-the-minus-10atanx,Derivative of x-to-the-10atanx,,yes,Derivative,Sum Rule,8,Apply the standard differentiation rule for this expression.,0,n/a,(1+x^2)^(-1)*x^10+10*atan(x)*x^9,GREEN,
inverse-trig,derivative-of-x-minus-to-minus-the-minus-3atanx,x^3*atan(x),200,MISS,Derivative of x^3*atan(x) - Instant Step-by-Step Solutions | Derivative Calculator AI,https://derivativecalculatorai.com/derivative-of-x-minus-to-minus-the-minus-3atanx,Derivative of x-to-the-3atanx,,yes,Derivative,Sum Rule,8,Apply the standard differentiation rule for this expression.,0,n/a,(1+x^2)^(-1)*x^3+3*atan(x)*x^2,GREEN,
ln,derivative-of-ln12x,ln(12*x),200,MISS,Derivative of ln(12*x) - Instant Step-by-Step Solutions | Derivative Calculator AI,https://derivativecalculatorai.com/derivative-of-ln12x,Derivative of ln(12x),,yes,Derivative,Logarithmic Rule,9,Recognize the natural logarithm log(x).,0,n/a,x^(-1),GREEN,
ln,derivative-of-lnx-minus-to-minus-the-minus-2-minus-3,ln(x^2-3),200,MISS,Derivative of ln(x^2-3) - Instant Step-by-Step Solutions | Derivative Calculator AI,https://derivativecalculatorai.com/derivative-of-lnx-minus-to-minus-the-minus-2-minus-3,Derivative of ln(x)-to-the-2-3,"noindex, follow",yes,Derivative,Logarithmic Rule,9,Recognize the natural logarithm log(x).,0,n/a,2*(-3+x^2)^(-1)*x,GREEN,
ln,derivative-of-lnx-minus-to-minus-the-minus-2-minus-plus-minus-7,ln(x^2+7),200,MISS,Derivative of ln(x^2+7) - Instant Step-by-Step Solutions | Derivative Calculator AI,https://derivativecalculatorai.com/derivative-of-lnx-minus-to-minus-the-minus-2-minus-plus-minus-7,Derivative of ln(x)-to-the-2-+-7,"noindex, follow",yes,Derivative,Logarithmic Rule,9,Recognize the natural logarithm log(x).,0,n/a,2*(7+x^2)^(-1)*x,GREEN,
ln,derivative-of-xln6x,x*ln(6*x),200,MISS,Derivative of x*ln(6*x) - Instant Step-by-Step Solutions | Derivative Calculator AI,https://derivativecalculatorai.com/derivative-of-xln6x,Derivative of xln^6x,,yes,Derivative,Power Rule,8,Identify the expression as a power function and apply the power rule.,0,n/a,1+log(6*x),GREEN,
ln,derivative-of-xlnxsinx,x*ln(x)*sin(x),200,MISS,Derivative of x*ln(x)*sin(x) - Instant Step-by-Step Solutions | Derivative Calculator AI,https://derivativecalculatorai.com/derivative-of-xlnxsinx,Derivative of xlnxsinx,,yes,Derivative,Power Rule,8,Identify the expression as a power function and apply the power rule.,0,n/a,cos(x)*log(x)*x+log(x)*sin(x)+sin(x),GREEN,
product,derivative-of-10x-minus-to-minus-the-minus-10,10*x^10,200,MISS,Derivative of 10*x^10 - Instant Step-by-Step Solutions | Derivative Calculator AI,https://derivativecalculatorai.com/derivative-of-10x-minus-to-minus-the-minus-10,Derivative of 10x-to-the-10,,yes,Derivative,Sum Rule,8,Apply the standard differentiation rule for this expression.,0,n/a,100*x^9,GREEN,
product,derivative-of-3x-minus-3-minus-to-minus-the-minus-2,(3*x-3)^2,200,MISS,Derivative of (3*x-3)^2 - Instant Step-by-Step Solutions | Derivative Calculator AI,https://derivativecalculatorai.com/derivative-of-3x-minus-3-minus-to-minus-the-minus-2,Derivative of 3x-3-to-the-2,"noindex, follow",yes,Derivative,Sum Rule,8,Apply the standard differentiation rule for this expression.,0,n/a,6*(-3+3*x),GREEN,
product,derivative-of-3x-minus-5-minus-to-minus-the-minus-5,(3*x-5)^5,200,MISS,Derivative of (3*x-5)^5 - Instant Step-by-Step Solutions | Derivative Calculator AI,https://derivativecalculatorai.com/derivative-of-3x-minus-5-minus-to-minus-the-minus-5,Derivative of 3x-5-to-the-5,"noindex, follow",yes,Derivative,Sum Rule,8,Apply the standard differentiation rule for this expression.,0,n/a,15*(-5+3*x)^4,GREEN,
product,derivative-of-3x-minus-plus-minus-2-minus-to-minus-the-minus-5,(3*x+2)^5,200,MISS,Derivative of (3*x+2)^5 - Instant Step-by-Step Solutions | Derivative Calculator AI,https://derivativecalculatorai.com/derivative-of-3x-minus-plus-minus-2-minus-to-minus-the-minus-5,Derivative of 3x-+-2-to-the-5,"noindex, follow",yes,Derivative,Sum Rule,8,Apply the standard differentiation rule for this expression.,0,n/a,15*(2+3*x)^4,GREEN,
product,derivative-of-4x-minus-plus-minus-2-minus-to-minus-the-minus-5,(4*x+2)^5,200,MISS,Derivative of (4*x+2)^5 - Instant Step-by-Step Solutions | Derivative Calculator AI,https://derivativecalculatorai.com/derivative-of-4x-minus-plus-minus-2-minus-to-minus-the-minus-5,Derivative of 4x-+-2-to-the-5,"noindex, follow",yes,Derivative,Sum Rule,8,Apply the standard differentiation rule for this expression.,0,n/a,20*(2+4*x)^4,GREEN,
quotient,derivative-of-1-minus-over-minus-sqrt1-minus-x-minus-to-minus-the-minus-2,1/sqrt(1-x^2),200,MISS,Derivative of 1/sqrt(1-x^2) - Instant Step-by-Step Solutions | Derivative Calculator AI,https://derivativecalculatorai.com/derivative-of-1-minus-over-minus-sqrt1-minus-x-minus-to-minus-the-minus-2,Derivative of 1-/-sqrt(1)-x-to-the-2,"noindex, follow",no,,,0,,0,n/a,(-x^2+1)^(-3/2)*x,RED,no SSR solution block; no SSR answer text; only 0 step(s); no rule label
quotient,derivative-of-1-x,1/x,200,MISS,Derivative of 1/x - Instant Step-by-Step Solutions | Derivative Calculator AI,https://derivativecalculatorai.com/derivative-of-1-x,Derivative of 1x,"noindex, follow",yes,Derivative,Power Rule,8,Identify the expression as a power function and apply the power rule.,0,n/a,-x^(-2),GREEN,
quotient,derivative-of-x-minus-over-minus-x-minus-to-minus-the-minus-4-minus-plus-minus-1,x/(x^4+1),200,MISS,Derivative of x/(x^4+1) - Instant Step-by-Step Solutions | Derivative Calculator AI,https://derivativecalculatorai.com/derivative-of-x-minus-over-minus-x-minus-to-minus-the-minus-4-minus-plus-minus-1,Derivative of x-/-x-to-the-4-+-1,"noindex, follow",no,,,0,,0,n/a,(1+x^4)^(-1)-4*(1+x^4)^(-2)*x^4,RED,no SSR solution block; no SSR answer text; only 0 step(s); no rule label
quotient,derivative-of-x-minus-to-minus-the-minus-1-minus-over-minus-5,x^(1/5),200,MISS,Derivative of x^(1/5) - Instant Step-by-Step Solutions | Derivative Calculator AI,https://derivativecalculatorai.com/derivative-of-x-minus-to-minus-the-minus-1-minus-over-minus-5,Derivative of x-to-the-1-/-5,"noindex, follow",no,,,0,,0,n/a,(1/5)*x^(-4/5),RED,no SSR solution block; no SSR answer text; only 0 step(s); no rule label
quotient,derivative-of-x-minus-to-minus-the-minus-1-minus-over-minus-6,x^(1/6),200,MISS,Derivative of x^(1/6) - Instant Step-by-Step Solutions | Derivative Calculator AI,https://derivativecalculatorai.com/derivative-of-x-minus-to-minus-the-minus-1-minus-over-minus-6,Derivative of x-to-the-1-/-6,"noindex, follow",no,,,0,,0,n/a,(1/6)*x^(-5/6),RED,no SSR solution block; no SSR answer text; only 0 step(s); no rule label
